
Epoch:7200/10000  train loss:8.5629e-01  val loss:1.4004e+01  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:16.39s  time total:18.58min  time remain:7.23min
Epoch:7300/10000  train loss:4.2947e-01  val loss:1.0748e+00  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:16.33s  time total:18.85min  time remain:6.97min
Epoch:7400/10000  train loss:5.3121e-01  val loss:7.1157e-02  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:16.49s  time total:19.13min  time remain:6.72min
Epoch:7500/10000  train loss:1.3083e-01  val loss:6.1443e-02  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.46s  time total:19.40min  time remain:6.47min
Epoch:7600/10000  train loss:8.1706e-01  val loss:1.1097e-01  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.46s  time total:19.68min  time remain:6.21min
Epoch:7700/10000  train loss:2.0305e-01  val loss:3.1302e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.39s  time total:19.95min  time remain:5.96min
Epoch:7800/10000  train loss:8.8133e-01  val loss:6.2876e+00  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.47s  time total:20.22min  time remain:5.70min
Epoch:7900/10000  train loss:4.7694e-01  val loss:5.8973e+00  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:16.32s  time total:20.50min  time remain:5.45min
Epoch:8000/10000  train loss:7.5048e-01  val loss:2.5531e+01  best epoch:510  min loss:9.4556e-03  lr:9.999975350e-02  time:16.47s  time total:20.77min  time remain:5.19min
Epoch:8100/10000  train loss:2.3210e+00  val loss:1.7118e+01  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:16.48s  time total:21.05min  time remain:4.94min
Epoch:8200/10000  train loss:2.7170e-01  val loss:1.5806e+00  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:15.96s  time total:21.31min  time remain:4.68min
Epoch:8300/10000  train loss:2.1693e-01  val loss:2.6066e+00  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:16.50s  time total:21.59min  time remain:4.42min
Epoch:8400/10000  train loss:1.4126e-01  val loss:1.6477e-01  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:16.43s  time total:21.86min  time remain:4.16min
Epoch:8500/10000  train loss:7.4412e-01  val loss:9.1299e-02  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.43s  time total:22.13min  time remain:3.91min
Epoch:8600/10000  train loss:1.3023e-01  val loss:4.8117e-01  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.51s  time total:22.41min  time remain:3.65min
Epoch:8700/10000  train loss:6.5855e-01  val loss:2.5061e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.71s  time total:22.69min  time remain:3.39min
Epoch:8800/10000  train loss:1.7312e-01  val loss:1.3120e+01  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.31s  time total:22.96min  time remain:3.13min
Epoch:8900/10000  train loss:8.1423e-01  val loss:1.9222e+02  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:16.56s  time total:23.24min  time remain:2.87min
Epoch:9000/10000  train loss:5.6067e-01  val loss:1.0663e+01  best epoch:510  min loss:9.4556e-03  lr:9.999975350e-02  time:16.39s  time total:23.51min  time remain:2.61min
Epoch:9100/10000  train loss:3.6715e-01  val loss:2.4513e+00  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:16.38s  time total:23.78min  time remain:2.35min
Epoch:9200/10000  train loss:1.5227e+00  val loss:5.9773e+00  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:16.40s  time total:24.06min  time remain:2.09min
Epoch:9300/10000  train loss:2.2430e-01  val loss:6.0280e-01  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:15.80s  time total:24.32min  time remain:1.83min
Epoch:9400/10000  train loss:1.6972e-01  val loss:2.5123e-01  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:16.50s  time total:24.59min  time remain:1.57min
Epoch:9500/10000  train loss:2.3406e-01  val loss:1.4951e-01  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.52s  time total:24.87min  time remain:1.31min
Epoch:9600/10000  train loss:1.0580e-01  val loss:2.0946e-01  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:12.52s  time total:25.08min  time remain:1.04min
Epoch:9700/10000  train loss:6.3366e-01  val loss:3.7178e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:7.87s  time total:25.21min  time remain:0.78min
Epoch:9800/10000  train loss:9.6644e-01  val loss:2.3507e+01  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:7.98s  time total:25.34min  time remain:0.52min
Epoch:9900/10000  train loss:1.5888e+00  val loss:3.1210e+01  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:8.03s  time total:25.48min  time remain:0.26min
Epoch:10000/10000  train loss:5.9725e-01  val loss:1.1372e+01  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:7.59s  time total:25.60min  time remain:0.00min
